n,chords,source
51,"(0,2) (0,42) (1,16) (3,43) (41,44) (20,43)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
52,"(0,2) (0,43) (1,16) (3,44) (42,45) (20,44)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
41,"(0,4) (0,5) (1,35) (2,36) (3,15) (0,15)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
42,"(0,4) (0,5) (1,36) (2,37) (3,16) (0,6)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
43,"(0,4) (0,5) (1,37) (2,38) (3,16) (0,20)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
44,"(0,4) (0,5) (1,37) (2,38) (3,16) (0,6)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
45,"(0,4) (0,5) (1,38) (2,39) (3,16) (1,15)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
46,"(0,4) (0,5) (1,39) (2,40) (3,17) (0,6)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
47,"(0,4) (0,5) (1,40) (2,41) (3,17) (1,16)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
48,"(0,4) (0,5) (1,41) (2,42) (3,18) (0,8)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
49,"(0,4) (0,5) (1,42) (2,43) (3,18) (2,39)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
50,"(0,4) (0,5) (1,43) (2,44) (3,18) (2,40)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
51,"(0,4) (0,5) (1,43) (2,44) (3,18) (2,40)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
52,"(0,4) (0,5) (1,44) (2,45) (3,18) (2,41)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
53,"(0,4) (0,5) (1,45) (2,46) (3,19) (2,42)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
54,"(0,4) (0,5) (1,46) (2,47) (3,19) (2,43)",empirical shape (0,4)(0,5)(1,34)(2,35)(3,15) scaled + scanned 6th
41,"(0,7) (1,8) (2,10) (2,11) (9,21) (0,8)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
42,"(0,7) (1,8) (2,10) (2,11) (9,22) (0,13)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
43,"(0,7) (1,8) (2,10) (2,11) (9,22) (0,20)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
44,"(0,8) (1,9) (2,11) (2,12) (10,23) (0,6)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
45,"(0,8) (1,9) (2,11) (2,12) (10,23) (1,22)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
46,"(0,8) (1,9) (2,11) (2,12) (10,24) (1,14)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
47,"(0,8) (1,9) (2,11) (2,12) (10,24) (1,23)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
48,"(0,9) (1,10) (2,12) (2,13) (11,25) (0,7)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
49,"(0,8) (1,9) (2,11) (2,12) (10,25) (3,47)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
50,"(0,8) (1,9) (2,11) (2,12) (10,25) (3,48)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
51,"(0,9) (1,10) (2,12) (2,13) (11,26) (10,48)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
53,"(0,9) (1,10) (2,12) (2,13) (11,27) (10,50)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
54,"(0,9) (1,10) (2,12) (2,13) (11,27) (10,51)",empirical shape (0,7)(1,8)(2,10)(2,11)(9,21) scaled + scanned 6th
